,Symbol,BBIndicator
0,BCOM,
1,BCOR,
2,BCOV,On Upper Band
3,BCOW,
4,BCPC,
5,BCRH,
6,BCRX,
7,BCS,
8,BCSF,
9,BCTF,
10,BCV,
11,BCX,
12,BCYC,
13,BDC,
14,BDCL,
15,BDCS,
16,BDGE,
17,BDJ,On Upper Band
18,BDL,
19,BDN,
20,BDR,On Lower Band
21,BDSI,
22,BDTX,
23,BDX,
24,BDXA,On Upper Band
25,BE,
26,BEAM,
27,BEAT,On Upper Band
28,BECN,
29,BEDU,
30,BELFA,
31,BELFB,
32,BEN,
33,BEP,
34,BERY,On Upper Band
35,BEST,On Upper Band
36,BFAM,
37,BFC,
38,BFIN,
39,BFK,
40,BFO,
41,BFRA,
42,BFS,On Upper Band
43,BFST,
44,BFY,
45,BFYT,
46,BFZ,
47,BG,
48,BGB,
49,BGCP,
50,BGFV,
51,BGG,
52,BGH,
53,BGI,
54,BGIO,
55,BGNE,
56,BGR,On Upper Band
57,BGS,
58,BGSF,
59,BGT,On Upper Band
60,BGX,
61,BGY,
62,BH,
63,BHAT,
64,BHB,
65,BHC,On Upper Band
66,BHE,
67,BHF,
68,BHFAL,
69,BHFAP,
70,BHK,
71,BHLB,
72,BHP,
73,BHR,
74,BHTG,
75,BHV,
76,BHVN,
77,BIDU,
78,BIF,On Upper Band
79,BIG,Above Upper Band
80,BIIB,
81,BILI,On Upper Band
82,BILL,On Upper Band
83,BIMI,
84,BIO,On Upper Band
85,BIOC,On Upper Band
86,BIOL,On Upper Band
87,BIOX,
88,BIP,
89,BIT,On Upper Band
90,BITA,
91,BJ,
92,BJRI,
93,BK,On Upper Band
94,BKCC,
95,BKD,
96,BKE,
97,BKEP,On Upper Band
98,BKEPP,
99,BKH,
