,Symbol,BBIndicator
0,ALAC, 
1,ALACR, 
2,ALACU, 
3,ALB, 
4,ALBO, 
5,ALC, 
6,ALCO, 
7,ALDX, 
8,ALE, 
9,ALEC, 
10,ALEX, 
11,ALG, 
12,ALGN, 
13,ALGR, 
14,ALGRR, 
15,ALGRU, 
16,ALGRW, 
17,ALGT, 
18,ALIM, 
19,ALJJ, 
20,ALK, 
21,ALKS,On Upper Band
22,ALL,On Upper Band
23,ALLE, 
24,ALLK,On Upper Band
25,ALLO,On Upper Band
26,ALLT, 
27,ALLY, 
28,ALNA, 
29,ALNY,On Upper Band
30,ALO, 
31,ALOT, 
32,ALPN, 
33,ALRM, 
34,ALRN,On Upper Band
35,ALRS,On Upper Band
36,ALSK,On Upper Band
37,ALSN,On Upper Band
38,ALT,On Upper Band
39,ALTG, 
40,ALTM, 
41,ALTR, 
42,ALUS, 
43,ALV,On Upper Band
44,ALX, 
45,ALXN,On Upper Band
46,ALYA, 
47,AM, 
48,AMAG,On Upper Band
