Symbol,BBIndicator
AACG,On Lower Band
AAME,On Lower Band
AAOI,On Upper Band
AAWW,On Upper Band
ABEV,On Lower Band
ACHV,On Upper Band
ACIU,On Upper Band
ACTG,On Upper Band
ACTT,On Upper Band
ACTTU,Above Upper Band
ACU,On Upper Band
ADMP,On Upper Band
ADPT,On Upper Band
AEM,On Upper Band
AEYE,Above Upper Band
AFH,On Upper Band
AFYA,On Lower Band
AG,On Upper Band
AGBAU,Above Upper Band
AGEN,On Upper Band
AGI,On Upper Band
AGMH,Above Upper Band
AIH,On Lower Band
AIM,On Lower Band
AIMT,On Upper Band
AIRG,On Upper Band
AIRTP,Above Upper Band
AKCA,On Upper Band
AKG,On Upper Band
ALACU,Above Upper Band
ALBO,On Upper Band
ALEC,On Upper Band
ALLT,On Upper Band
ALNA,Above Upper Band
ALO,On Upper Band
ALUS,On Upper Band
AM,Above Upper Band
AMBA,On Upper Band
AMBO,On Upper Band
AMCX,On Lower Band
AMK,On Upper Band
AMN,On Lower Band
AMRB,On Upper Band
AMRS,On Upper Band
AMSWA,On Upper Band
ANCN,On Upper Band
ANDA,Above Upper Band
ANDE,On Lower Band
ANIK,On Upper Band
ANVS,On Upper Band
ANY,On Upper Band
AOBC,On Upper Band
AOSL,On Upper Band
AP,On Upper Band
APA,On Upper Band
APDN,On Upper Band
APEX,On Upper Band
APLS,On Upper Band
APPS,On Upper Band
APTX,On Upper Band
APVO,On Upper Band
APWC,On Upper Band
AQB,On Upper Band
AR,On Upper Band
ARCH,On Lower Band
ARCT,On Upper Band
AREC,On Lower Band
AROC,On Upper Band
ARPO,Above Upper Band
ARTL,On Upper Band
ARTNA,On Lower Band
ARTW,On Lower Band
ARYA,On Upper Band
ASA,On Upper Band
ASC,On Upper Band
ASMB,On Upper Band
ASPN,On Lower Band
ATEX,On Upper Band
ATHE,On Upper Band
ATIF,On Upper Band
ATLC,On Upper Band
ATNI,On Upper Band
ATNM,On Lower Band
ATOM,On Upper Band
ATRA,On Upper Band
ATSG,On Upper Band
AU,On Upper Band
AUTL,On Upper Band
AVAL,On Lower Band
AVCO,On Upper Band
AVID,On Upper Band
AVXL,On Upper Band
AXAS,Above Upper Band
AXDX,On Upper Band
AXLA,On Upper Band
AXSM,On Upper Band
AXTI,On Upper Band
AXU,On Upper Band
AYTU,On Lower Band
AZRX,On Upper Band
AZUL,On Lower Band
BAND,On Upper Band
BANFP,On Lower Band
BBAR,On Lower Band
BBD,On Lower Band
BBDO,On Lower Band
BBIO,On Upper Band
BBQ,On Upper Band
BBW,On Upper Band
BC,On Upper Band
BCDA,On Upper Band
BCEL,On Upper Band
BCO,On Lower Band
BCOM,On Upper Band
BCRX,On Upper Band
BCYC,On Upper Band
BDL,On Upper Band
BDTX,On Upper Band
BE,On Upper Band
BEAM,On Upper Band
BEDU,On Lower Band
BEST,On Upper Band
BFY,On Upper Band
BHAT,On Upper Band
BHVN,On Upper Band
BILL,On Upper Band
BITA,On Upper Band
BKEP,On Upper Band
BKEPP,On Upper Band
BKN,On Lower Band
BLFS,On Upper Band
BLIN,On Upper Band
BLPH,On Upper Band
BMA,On Lower Band
BMRN,On Upper Band
BNSO,On Lower Band
BNTC,On Upper Band
BNY,On Lower Band
BOSC,On Upper Band
BPTH,On Upper Band
BREW,On Upper Band
BRID,On Lower Band
BRN,On Upper Band
BROG,On Lower Band
BRPAU,Above Upper Band
BRY,Above Upper Band
BSBR,On Lower Band
BSGM,Above Upper Band
BSQR,On Upper Band
BTG,On Upper Band
BVN,On Upper Band
BXRX,On Upper Band
